id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[d439784c19],[93530c30f3],"以前以为拼多多真的要找熟人拼，被同学笑了
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-24T11:58:42,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-24 11:58:42
[47e3ec7e5b],[d638704c4e],社交欲望还是低的要死……有时候主动聊起话题了，又不想再回复别人…… ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-18T02:11:00,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-18 02:11:00
[595609e6a5],[0a791d7941],还是想说，精神病和神经病是不一样的，我们只是生病了，他们纯粹就是事儿呗 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T08:20:01,Redmi Note 11 5G,0,1,"[{""id"": ""[12a128909a]"", ""created_at"": ""04-18"", ""source"": ""来自湖北"", ""user"": {""id"": ""[5dcffd2c0e]"", ""screen_name"": ""[a185e3ec68]""}, ""text"": ""精神病就是被一群神经病给逼出来的 [微笑]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-04-13 08:20:01
[d1d12729de],[fcec487fa2],"老师给我发消息说六天后要计算机合格考，我必须去学校。于是我一早开始胃疼，我几乎想象不到我六天后去学校的样子，又刚好刷帖子刷到一个怀疑弟弟有精神病的，评论全是很现实的话，完全没有为那个弟弟考虑，是的是的，生命可以重来，985只有一次，我们都只是死了，又没有退学。每次看到与精神疾病相关 ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-13T08:18:23,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-13 08:18:23
[7f1b223920],[39af27ad01],消停不下来，各种症状，真的好无力 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-08T23:28:13,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-08 23:28:13
[987dc990e1],[32a05f8773],分享图片 ,[9b2d5b4678],[f9629252f6],[9b2d5b4678],,2024-04-05T23:04:57,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-05 23:04:57
[32052b2ed1],[2579aa6bbb],#你想活出怎样的人生# ,[9b2d5b4678],[ab59b6bad2],[9b2d5b4678],,2024-04-04T21:34:41,Redmi Note 11 5G,0,0,,0,你想活出怎样的人生,[9b2d5b4678],2024-04-04 21:34:41
[a46ad4cefa],[606c011281],春天啦 ,[9b2d5b4678],[3b558354f3],[9b2d5b4678],,2024-04-04T21:31:10,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-04-04 21:31:10
[95c5becd14],[febba7f9f9],我的末日来了 ,[9b2d5b4678],[3f8d3057fb],[9b2d5b4678],,2024-04-04T20:57:10,Redmi Note 11 5G,1,0,,0,,[9b2d5b4678],2024-04-04 20:57:10
[81c55e22ec],[aa28ebabf8],"我只想把一半真实的自己展现给我爱的人看，我爱的人当然是爱我的人……我真的很虚伪，但是这就是我，我爱的人，爱我的人，都是包容我的人。
毕竟泰戈尔说过：
“我最后的敬意，要献给那些知道我不完美却依然爱我的人。”  ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-03T23:00:51,Redmi Note 11 5G,0,0,,0,,[9b2d5b4678],2024-04-03 23:00:51
